№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
2126;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;281;;;
2127;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;284;;;
2128;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;269;;;
2129;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;271;;;
2130;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;291;;;
2131;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;304;;;
2132;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;271;;;
2133;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;296;;;
2134;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;315;;;
2135;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;300;;;
2136;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;371;;;
2137;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;268;;;
2138;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;281;;;
2139;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;256;;;
2140;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;276;;;
2141;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;280;;;
2142;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;256;;;
2143;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;301;;;
2144;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;278;;;
2145;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;280;;;
2146;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;313;;;
2147;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;303;;;
2148;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;301;;;
2149;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;294;;;
2150;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;280;;;
2151;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;276;;;
2152;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;260;;;
2153;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;273;;;
2154;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;260;;;
2155;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;301;;;
2156;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;204;;;
2157;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;221;;;
2158;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;240;;;
2159;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;270;;;
2160;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;312;;;
2161;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;306;;;
2162;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;290;;;
2163;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;210;;;
2164;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;241;;;
2165;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;240;;;
2166;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;270;;;
2167;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;313;;;
2168;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;260;;;
2169;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;281;;;
2170;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;218;;;
2171;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;271;;;
2172;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;201;;;
2173;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;301;;;
2174;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;245;;;
2175;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;282;;;
2176;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;269;;;
2177;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;291;;;
2178;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;263;;;
2179;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;278;;;
2180;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;285;;;
2181;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;282;;;
2182;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;269;;;
2183;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;276;;;
2184;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;281;;;
2185;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;288;;;
2186;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;292;;;
2187;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;278;;;
2188;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;265;;;
2189;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;283;;;
2190;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;276;;;
2191;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;278;;;
2192;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;286;;;
2193;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;289;;;
2194;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;286;;;
2195;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;287;;;
2196;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;283;;;
2197;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;302;;;
2198;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;292;;;
2199;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;106;;;
2200;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;225;;;
2201;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;110;;;
2202;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;125;;;
2203;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;320;;;
2204;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;260;;;
2205;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;270;;;
2206;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;760;;;
2207;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;270;;;
2208;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;260;;;
2209;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;1336;;;
2210;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;1335;;;
2211;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;199;;;
2212;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;572;;;
2213;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;400;;;
2214;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;350;;;
2215;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;450;;;
2216;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;1300;;;
2217;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;148;;;
2218;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;885;;;
2219;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;232;;;
2220;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;270;;;
2221;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;861;;;
2222;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;319;;;
2223;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;461;;;
2224;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;271;;;
2225;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;282;;;
2226;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;155;;;
2227;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;229;;;
2228;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;308;;;
2229;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;281;;;
2230;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;492;;;
2231;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;391;;;
2232;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;1004;;;
2233;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;133;;;
2234;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;294;;;
2235;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;150;;;
2236;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;122;;;
2237;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;240;;;
2238;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;228;;;
2239;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;420;;;
2240;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;260;;;
2241;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;310;;;
2242;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;240;;;
2243;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;200;;;
2244;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;195;;;
2245;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;245;;;
2246;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;290;;;
2247;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;270;;;
2248;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;390;;;
2249;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;225;;;
2250;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;670;;;
2251;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;220;;;
2252;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;230;;;
2253;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;802;;;
2254;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;351;;;
2255;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;250;;;
2256;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;130;;;
2257;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;351;;;
2258;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;280;;;
2259;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;348;;;
2260;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;320;;;
2261;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;150;;;
2262;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;280;;;
2263;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;185;;;
2264;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;174;;;
2265;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;200;;;
2266;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;210;;;
2267;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;190;;;
2268;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;120;;;
2269;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;230;;;
2270;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;160;;;
2271;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;250;;;
2272;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;190;;;
2273;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;380;;;
2274;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;167;;;
2275;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;150;;;
2276;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;200;;;
2277;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;220;;;
2278;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;230;;;
2279;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;138;;;
2280;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;87;;;
2281;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;170;;;
2282;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;212;;;
2283;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;525;;;
2284;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;200;;;
2285;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;300;;;
2286;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;250;;;
2287;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;344;;;
2288;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;346;;;
2289;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;главная апсида;2014-2015;90;;;
2290;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Лоток;Массовый;;подкупольное простство;2014-2015;275;;;
